Company,Cocoa Percent,Country,Rating,Bean Type
A. Morin,63%,France,3.75,
A. Morin,70%,France,2.75,
A. Morin,70%,France,3,
A. Morin,70%,France,3.5,
A. Morin,70%,France,3.5,
A. Morin,70%,France,2.75,Criollo
A. Morin,70%,France,3.5,
A. Morin,70%,France,3.5,Criollo
A. Morin,70%,France,3.75,Criollo
A. Morin,70%,France,4,
A. Morin,70%,France,2.75,
A. Morin,70%,France,3,Criollo
A. Morin,70%,France,3.25,
A. Morin,70%,France,3.75,
A. Morin,70%,France,2.75,
A. Morin,70%,France,3,
A. Morin,70%,France,3.25,
A. Morin,70%,France,4,Trinitario
A. Morin,70%,France,3.25,
A. Morin,70%,France,3.5,
A. Morin,63%,France,4,
A. Morin,70%,France,3.5,
A. Morin,63%,France,3.75,
Acalli,70%,U.S.A.,3.75,
Acalli,70%,U.S.A.,3.75,Criollo
Adi,60%,Fiji,2.75,Trinitario
Adi,80%,Fiji,3.25,Trinitario
Adi,88%,Fiji,3.5,Trinitario
Adi,72%,Fiji,3.5,Trinitario
Aequare (Gianduja),55%,Ecuador,2.75,Forastero (Arriba)
Aequare (Gianduja),70%,Ecuador,3,Forastero (Arriba)
Ah Cacao,70%,Mexico,3,Criollo
Akesson's (Pralus),75%,Switzerland,3.75,Trinitario
Akesson's (Pralus),75%,Switzerland,2.75,Criollo
Akesson's (Pralus),75%,Switzerland,2.75,Forastero
Alain Ducasse,65%,France,2.75,Trinitario
Alain Ducasse,75%,France,2.75,Trinitario
Alain Ducasse,75%,France,3,Trinitario
Alain Ducasse,75%,France,2.5,Trinitario
Alain Ducasse,75%,France,2.5,
Alexandre,70%,Netherlands,3.5,Forastero (Nacional)
Alexandre,70%,Netherlands,3.5,"Criollo, Trinitario"
Alexandre,70%,Netherlands,3.5,Trinitario
Alexandre,70%,Netherlands,3.5,Forastero
Altus aka Cao Artisan,60%,U.S.A.,2.75,
Altus aka Cao Artisan,60%,U.S.A.,3,
Altus aka Cao Artisan,60%,U.S.A.,2.5,
Altus aka Cao Artisan,60%,U.S.A.,2.5,
Altus aka Cao Artisan,60%,U.S.A.,2.75,
Altus aka Cao Artisan,60%,U.S.A.,2.5,
Altus aka Cao Artisan,60%,U.S.A.,3,Trinitario
Altus aka Cao Artisan,80%,U.S.A.,3.25,
Altus aka Cao Artisan,60%,U.S.A.,3,
Altus aka Cao Artisan,60%,U.S.A.,3.25,
Amano,70%,U.S.A.,4,
Amano,70%,U.S.A.,3.75,
Amano,70%,U.S.A.,4,
Amano,70%,U.S.A.,3,Trinitario
Amano,70%,U.S.A.,3,
Amano,70%,U.S.A.,2.75,
Amano,70%,U.S.A.,3.5,Trinitario
Amano,70%,U.S.A.,3,
Amano,70%,U.S.A.,3.75,Criollo
Amatller (Simon Coll),70%,Spain,3,Forastero
Amatller (Simon Coll),70%,Spain,2.75,
Amatller (Simon Coll),85%,Spain,2.75,
Amatller (Simon Coll),85%,Spain,3,Forastero
Amazona,72%,Peru,3.25,
Amazona,73%,Peru,3.5,Trinitario
Ambrosia,64%,Canada,3,Trinitario
Ambrosia,66%,Canada,3.25,Trinitario
Ambrosia,75%,Canada,3.25,
Ambrosia,63%,Canada,3.25,
Ambrosia,70%,Canada,3.25,
Ambrosia,68%,Canada,3.5,
Amedei,70%,Italy,3.75,
Amedei,70%,Italy,4,Criollo (Porcelana)
Amedei,75%,Italy,4,Blend
Amedei,70%,Italy,5,Trinitario
Amedei,70%,Italy,3,Trinitario
Amedei,70%,Italy,3,Trinitario
Amedei,70%,Italy,3.5,Trinitario
Amedei,70%,Italy,3.75,Trinitario (85% Criollo)
Amedei,70%,Italy,4,Trinitario (85% Criollo)
Amedei,70%,Italy,3.5,Trinitario
Amedei,63%,Italy,3.5,Blend
Amedei,70%,Italy,5,Blend
Amedei,66%,Italy,4,Blend
AMMA,75%,Brazil,3.25,Forastero (Catongo)
AMMA,85%,Brazil,2.75,Forastero (Parazinho)
AMMA,50%,Brazil,3.75,Forastero (Parazinho)
AMMA,75%,Brazil,3.75,Forastero (Parazinho)
AMMA,60%,Brazil,4,Forastero (Parazinho)
Anahata,75%,U.S.A.,3,
Animas,75%,U.S.A.,3.5,
Ara,75%,France,3,Trinitario
Ara,72%,France,2.5,
Ara,75%,France,2.75,
Ara,75%,France,3,
Arete,70%,U.S.A.,3.5,Trinitario
Arete,70%,U.S.A.,3.75,
Arete,73%,U.S.A.,3.5,Trinitario
Arete,70%,U.S.A.,3.25,
Arete,70%,U.S.A.,3.25,
Arete,70%,U.S.A.,3.5,
Arete,70%,U.S.A.,3.75,
Arete,70%,U.S.A.,3.5,
Arete,70%,U.S.A.,4,
Arete,70%,U.S.A.,4,Forastero (Nacional)
Arete,70%,U.S.A.,3.75,
Arete,70%,U.S.A.,3.25,
Arete,73%,U.S.A.,3.25,
Arete,70%,U.S.A.,3.5,
Arete,68%,U.S.A.,3.5,Forastero (Nacional)
Arete,70%,U.S.A.,3.75,Forastero (Nacional)
Arete,70%,U.S.A.,3.5,
Arete,70%,U.S.A.,3.75,Trinitario
Arete,70%,U.S.A.,4,"Criollo, Trinitario"
Arete,75%,U.S.A.,2.75,
Arete,70%,U.S.A.,3.25,
Arete,75%,U.S.A.,3.5,
Artisan du Chocolat,72%,U.K.,3.25,Trinitario
Artisan du Chocolat,72%,U.K.,3.75,
Artisan du Chocolat,72%,U.K.,4,
Artisan du Chocolat,72%,U.K.,2.75,
Artisan du Chocolat,100%,U.K.,1.75,
Artisan du Chocolat,72%,U.K.,3.75,Trinitario
Artisan du Chocolat,72%,U.K.,3.25,
Artisan du Chocolat,72%,U.K.,3.25,Trinitario
Artisan du Chocolat,72%,U.K.,3.5,
Artisan du Chocolat,75%,U.K.,2.5,"Criollo, Trinitario"
Artisan du Chocolat,72%,U.K.,2.75,Trinitario
Artisan du Chocolat,72%,U.K.,1.75,
Artisan du Chocolat,80%,U.K.,3,"Criollo, Trinitario"
Artisan du Chocolat,75%,U.K.,3,Criollo
Artisan du Chocolat,72%,U.K.,3.25,Trinitario
Artisan du Chocolat,72%,U.K.,3.75,Forastero
Artisan du Chocolat (Casa Luker),72%,U.K.,2.75,Trinitario
Askinosie,68%,U.S.A.,3.75,Trinitario
Askinosie,72%,U.S.A.,3.75,Trinitario
Askinosie,70%,U.S.A.,3.75,Trinitario
Askinosie,77%,U.S.A.,3.75,Trinitario
Askinosie,75%,U.S.A.,2.5,Trinitario
Askinosie,70%,U.S.A.,3,Forastero (Arriba)
Bahen & Co.,80%,Australia,3.25,
Bahen & Co.,70%,Australia,3.5,
Bahen & Co.,70%,Australia,3,Trinitario
Bahen & Co.,70%,Australia,2.5,
Bahen & Co.,70%,Australia,2.5,Blend
Bakau,70%,Peru,2.75,
Bakau,70%,Peru,3.5,
Bar Au Chocolat,70%,U.S.A.,3.5,
Bar Au Chocolat,70%,U.S.A.,4,Forastero (Nacional)
Bar Au Chocolat,70%,U.S.A.,3.25,
Bar Au Chocolat,70%,U.S.A.,3.5,
Bar Au Chocolat,70%,U.S.A.,3.75,Trinitario
Baravelli's,80%,Wales,2.75,
Batch,65%,U.S.A.,3.5,
Batch,70%,U.S.A.,3.75,
Batch,65%,U.S.A.,3.25,
Beau Cacao,73%,U.K.,3,
Beau Cacao,72%,U.K.,3.25,
Beehive,80%,U.S.A.,2.75,
Beehive,70%,U.S.A.,2.75,
Beehive,70%,U.S.A.,2.75,
Beehive,90%,U.S.A.,2.75,
Belcolade,64%,Belgium,2.75,
Belcolade,64%,Belgium,2.75,
Belcolade,64%,Belgium,2.75,
Belcolade,71%,Belgium,3.5,
Bellflower,70%,U.S.A.,3.5,"Criollo, Trinitario"
